ts_anglevertical,anglevertical,ts_charge,charge,ts_co2,co2,ts_humidity,humidity,ts_illumination,illumination,ts_noise,noise,ts_powerstate,powerstate,ts_temperature,temperature,ts_timestamp,timestamp,ts_type,type
2022-08-10 00:03:07,37,2022-08-10 00:03:07,95,2022-08-10 00:03:07,457,2022-08-10 00:03:07,44,2022-08-10 00:03:07,0,2022-08-10 00:03:07,46,2022-08-10 00:03:07,1,2022-08-10 00:03:07,27.8,2022-08-10 00:03:07,1577950832,2022-08-10 00:03:07,normal
2022-08-10 00:08:07,36,2022-08-10 00:08:07,95,2022-08-10 00:08:07,474,2022-08-10 00:08:07,44,2022-08-10 00:08:07,0,2022-08-10 00:08:07,46,2022-08-10 00:08:07,1,2022-08-10 00:08:07,27.8,2022-08-10 00:08:07,1577951132,2022-08-10 00:08:07,normal
2022-08-10 00:13:07,37,2022-08-10 00:13:07,95,2022-08-10 00:13:07,478,2022-08-10 00:13:07,45,2022-08-10 00:13:07,0,2022-08-10 00:13:07,46,2022-08-10 00:13:07,1,2022-08-10 00:13:07,27.7,2022-08-10 00:13:07,1577951432,2022-08-10 00:13:07,normal
2022-08-10 00:18:07,37,2022-08-10 00:18:07,95,2022-08-10 00:18:07,477,2022-08-10 00:18:07,45,2022-08-10 00:18:07,0,2022-08-10 00:18:07,46,2022-08-10 00:18:07,1,2022-08-10 00:18:07,27.7,2022-08-10 00:18:07,1577951732,2022-08-10 00:18:07,normal
2022-08-10 00:23:07,36,2022-08-10 00:23:07,95,2022-08-10 00:23:07,482,2022-08-10 00:23:07,45,2022-08-10 00:23:07,0,2022-08-10 00:23:07,46,2022-08-10 00:23:07,1,2022-08-10 00:23:07,27.7,2022-08-10 00:23:07,1577952032,2022-08-10 00:23:07,normal
2022-08-10 00:28:07,36,2022-08-10 00:28:07,95,2022-08-10 00:28:07,470,2022-08-10 00:28:07,45,2022-08-10 00:28:07,0,2022-08-10 00:28:07,46,2022-08-10 00:28:07,1,2022-08-10 00:28:07,27.7,2022-08-10 00:28:07,1577952332,2022-08-10 00:28:07,normal
2022-08-10 00:33:08,37,2022-08-10 00:33:08,95,2022-08-10 00:33:08,472,2022-08-10 00:33:08,45,2022-08-10 00:33:08,0,2022-08-10 00:33:08,46,2022-08-10 00:33:08,1,2022-08-10 00:33:08,27.7,2022-08-10 00:33:08,1577952632,2022-08-10 00:33:08,normal
2022-08-10 00:38:07,37,2022-08-10 00:38:07,95,2022-08-10 00:38:07,457,2022-08-10 00:38:07,45,2022-08-10 00:38:07,0,2022-08-10 00:38:07,46,2022-08-10 00:38:07,1,2022-08-10 00:38:07,27.7,2022-08-10 00:38:07,1577952932,2022-08-10 00:38:07,normal
2022-08-10 00:43:08,36,2022-08-10 00:43:08,95,2022-08-10 00:43:08,480,2022-08-10 00:43:08,45,2022-08-10 00:43:08,0,2022-08-10 00:43:08,46,2022-08-10 00:43:08,1,2022-08-10 00:43:08,27.7,2022-08-10 00:43:08,1577953232,2022-08-10 00:43:08,normal
2022-08-10 00:48:07,37,2022-08-10 00:48:07,95,2022-08-10 00:48:07,480,2022-08-10 00:48:07,45,2022-08-10 00:48:07,0,2022-08-10 00:48:07,46,2022-08-10 00:48:07,1,2022-08-10 00:48:07,27.7,2022-08-10 00:48:07,1577953532,2022-08-10 00:48:07,normal
