ts_anglevertical,anglevertical,ts_charge,charge,ts_co2,co2,ts_humidity,humidity,ts_illumination,illumination,ts_noise,noise,ts_powerstate,powerstate,ts_temperature,temperature,ts_timestamp,timestamp,ts_type,type
2022-08-10 00:00:48,11,2022-08-10 00:00:48,95,2022-08-10 00:00:48,460,2022-08-10 00:00:48,44,2022-08-10 00:00:48,0,2022-08-10 00:00:48,44,2022-08-10 00:00:48,1,2022-08-10 00:00:48,27.6,2022-08-10 00:00:48,1577949999,2022-08-10 00:00:48,normal
2022-08-10 00:00:50,11,2022-08-10 00:00:50,95,2022-08-10 00:00:50,452,2022-08-10 00:00:50,44,2022-08-10 00:00:50,0,2022-08-10 00:00:50,44,2022-08-10 00:00:50,1,2022-08-10 00:00:50,27.4,2022-08-10 00:00:50,1577950231,2022-08-10 00:00:50,normal
2022-08-10 00:05:47,11,2022-08-10 00:05:47,95,2022-08-10 00:05:47,451,2022-08-10 00:05:47,44,2022-08-10 00:05:47,0,2022-08-10 00:05:47,44,2022-08-10 00:05:47,1,2022-08-10 00:05:47,27.6,2022-08-10 00:05:47,1577950531,2022-08-10 00:05:47,normal
2022-08-10 00:10:48,11,2022-08-10 00:10:48,95,2022-08-10 00:10:48,456,2022-08-10 00:10:48,44,2022-08-10 00:10:48,0,2022-08-10 00:10:48,44,2022-08-10 00:10:48,1,2022-08-10 00:10:48,27.5,2022-08-10 00:10:48,1577950831,2022-08-10 00:10:48,normal
2022-08-10 00:15:47,11,2022-08-10 00:15:47,95,2022-08-10 00:15:47,454,2022-08-10 00:15:47,45,2022-08-10 00:15:47,0,2022-08-10 00:15:47,44,2022-08-10 00:15:47,1,2022-08-10 00:15:47,27.5,2022-08-10 00:15:47,1577951131,2022-08-10 00:15:47,normal
2022-08-10 00:20:48,11,2022-08-10 00:20:48,95,2022-08-10 00:20:48,448,2022-08-10 00:20:48,45,2022-08-10 00:20:48,0,2022-08-10 00:20:48,43,2022-08-10 00:20:48,1,2022-08-10 00:20:48,27.5,2022-08-10 00:20:48,1577951432,2022-08-10 00:20:48,normal
2022-08-10 00:25:48,11,2022-08-10 00:25:48,95,2022-08-10 00:25:48,455,2022-08-10 00:25:48,45,2022-08-10 00:25:48,0,2022-08-10 00:25:48,44,2022-08-10 00:25:48,1,2022-08-10 00:25:48,27.4,2022-08-10 00:25:48,1577951731,2022-08-10 00:25:48,normal
2022-08-10 00:30:48,12,2022-08-10 00:30:48,95,2022-08-10 00:30:48,447,2022-08-10 00:30:48,45,2022-08-10 00:30:48,0,2022-08-10 00:30:48,44,2022-08-10 00:30:48,1,2022-08-10 00:30:48,27.4,2022-08-10 00:30:48,1577952031,2022-08-10 00:30:48,normal
2022-08-10 00:35:48,11,2022-08-10 00:35:48,95,2022-08-10 00:35:48,456,2022-08-10 00:35:48,45,2022-08-10 00:35:48,0,2022-08-10 00:35:48,44,2022-08-10 00:35:48,1,2022-08-10 00:35:48,27.4,2022-08-10 00:35:48,1577952331,2022-08-10 00:35:48,normal
2022-08-10 00:45:48,11,2022-08-10 00:45:48,95,2022-08-10 00:45:48,456,2022-08-10 00:45:48,45,2022-08-10 00:45:48,0,2022-08-10 00:45:48,44,2022-08-10 00:45:48,1,2022-08-10 00:45:48,27.4,2022-08-10 00:45:48,1577952699,2022-08-10 00:45:48,normal
2022-08-10 00:45:50,11,2022-08-10 00:45:50,95,2022-08-10 00:45:50,461,2022-08-10 00:45:50,45,2022-08-10 00:45:50,0,2022-08-10 00:45:50,45,2022-08-10 00:45:50,1,2022-08-10 00:45:50,27.4,2022-08-10 00:45:50,1577952931,2022-08-10 00:45:50,normal
2022-08-10 00:50:48,11,2022-08-10 00:50:48,95,2022-08-10 00:50:48,454,2022-08-10 00:50:48,45,2022-08-10 00:50:48,0,2022-08-10 00:50:48,44,2022-08-10 00:50:48,1,2022-08-10 00:50:48,27.4,2022-08-10 00:50:48,1577953231,2022-08-10 00:50:48,normal
2022-08-10 00:55:48,11,2022-08-10 00:55:48,95,2022-08-10 00:55:48,453,2022-08-10 00:55:48,45,2022-08-10 00:55:48,0,2022-08-10 00:55:48,44,2022-08-10 00:55:48,1,2022-08-10 00:55:48,27.4,2022-08-10 00:55:48,1577953531,2022-08-10 00:55:48,normal
2022-08-10 01:00:47,11,2022-08-10 01:00:47,95,2022-08-10 01:00:47,458,2022-08-10 01:00:47,45,2022-08-10 01:00:47,0,2022-08-10 01:00:47,45,2022-08-10 01:00:47,1,2022-08-10 01:00:47,27.4,2022-08-10 01:00:47,1577953831,2022-08-10 01:00:47,normal
2022-08-10 01:05:48,11,2022-08-10 01:05:48,95,2022-08-10 01:05:48,461,2022-08-10 01:05:48,45,2022-08-10 01:05:48,0,2022-08-10 01:05:48,44,2022-08-10 01:05:48,1,2022-08-10 01:05:48,27.4,2022-08-10 01:05:48,1577954131,2022-08-10 01:05:48,normal
