ts_anglevertical,anglevertical,ts_charge,charge,ts_co2,co2,ts_humidity,humidity,ts_illumination,illumination,ts_noise,noise,ts_powerstate,powerstate,ts_temperature,temperature,ts_timestamp,timestamp,ts_type,type
2022-08-10 00:03:47,87,2022-08-10 00:03:47,95,2022-08-10 00:03:47,645,2022-08-10 00:03:47,42,2022-08-10 00:03:47,0,2022-08-10 00:03:47,46,2022-08-10 00:03:47,1,2022-08-10 00:03:47,28.6,2022-08-10 00:03:47,1577950529,2022-08-10 00:03:47,normal
2022-08-10 00:08:48,87,2022-08-10 00:08:48,95,2022-08-10 00:08:48,631,2022-08-10 00:08:48,42,2022-08-10 00:08:48,0,2022-08-10 00:08:48,46,2022-08-10 00:08:48,1,2022-08-10 00:08:48,28.6,2022-08-10 00:08:48,1577950829,2022-08-10 00:08:48,normal
2022-08-10 00:13:47,86,2022-08-10 00:13:47,95,2022-08-10 00:13:47,618,2022-08-10 00:13:47,43,2022-08-10 00:13:47,0,2022-08-10 00:13:47,46,2022-08-10 00:13:47,1,2022-08-10 00:13:47,28.6,2022-08-10 00:13:47,1577951129,2022-08-10 00:13:47,normal
2022-08-10 00:23:47,86,2022-08-10 00:23:47,95,2022-08-10 00:23:47,629,2022-08-10 00:23:47,43,2022-08-10 00:23:47,0,2022-08-10 00:23:47,46,2022-08-10 00:23:47,1,2022-08-10 00:23:47,28.5,2022-08-10 00:23:47,1577951494,2022-08-10 00:23:47,normal
2022-08-10 00:23:50,86,2022-08-10 00:23:50,95,2022-08-10 00:23:50,634,2022-08-10 00:23:50,43,2022-08-10 00:23:50,0,2022-08-10 00:23:50,50,2022-08-10 00:23:50,1,2022-08-10 00:23:50,28.5,2022-08-10 00:23:50,1577951729,2022-08-10 00:23:50,normal
2022-08-10 00:28:48,85,2022-08-10 00:28:48,95,2022-08-10 00:28:48,629,2022-08-10 00:28:48,43,2022-08-10 00:28:48,0,2022-08-10 00:28:48,46,2022-08-10 00:28:48,1,2022-08-10 00:28:48,28.5,2022-08-10 00:28:48,1577952029,2022-08-10 00:28:48,normal
2022-08-10 00:33:47,86,2022-08-10 00:33:47,95,2022-08-10 00:33:47,633,2022-08-10 00:33:47,43,2022-08-10 00:33:47,0,2022-08-10 00:33:47,46,2022-08-10 00:33:47,1,2022-08-10 00:33:47,28.5,2022-08-10 00:33:47,1577952329,2022-08-10 00:33:47,normal
2022-08-10 00:38:48,86,2022-08-10 00:38:48,95,2022-08-10 00:38:48,624,2022-08-10 00:38:48,43,2022-08-10 00:38:48,0,2022-08-10 00:38:48,46,2022-08-10 00:38:48,1,2022-08-10 00:38:48,28.5,2022-08-10 00:38:48,1577952629,2022-08-10 00:38:48,normal
2022-08-10 00:43:47,86,2022-08-10 00:43:47,95,2022-08-10 00:43:47,627,2022-08-10 00:43:47,43,2022-08-10 00:43:47,0,2022-08-10 00:43:47,46,2022-08-10 00:43:47,1,2022-08-10 00:43:47,28.5,2022-08-10 00:43:47,1577952929,2022-08-10 00:43:47,normal
2022-08-10 00:48:47,86,2022-08-10 00:48:47,95,2022-08-10 00:48:47,625,2022-08-10 00:48:47,43,2022-08-10 00:48:47,0,2022-08-10 00:48:47,46,2022-08-10 00:48:47,1,2022-08-10 00:48:47,28.5,2022-08-10 00:48:47,1577953229,2022-08-10 00:48:47,normal
2022-08-10 00:53:47,86,2022-08-10 00:53:47,95,2022-08-10 00:53:47,627,2022-08-10 00:53:47,43,2022-08-10 00:53:47,0,2022-08-10 00:53:47,46,2022-08-10 00:53:47,1,2022-08-10 00:53:47,28.5,2022-08-10 00:53:47,1577953529,2022-08-10 00:53:47,normal
